configName,signalCount,avgFwd126,winRate126,coveredValidationWindowCount,formal2022Q4,formal2026March,diagnostic2022Q4,diagnostic2026March
btm_dw21_dt18_r21_st21x5_m16x35x9_sma200_atr20_vol20_gap63_entry90_mbo6_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt18_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol20_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt18_r14_st21x5_m12x26x9_sma50_atr10_vol20_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt18_r21_st9x3_m12x26x9_sma100_atr10_vol20_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt25_r7_st14x3_m16x35x9_sma100_atr14_vol50_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt25_r10_st21x5_m16x35x9_sma100_atr14_vol50_gap63_entry90_mbo6_rs42_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt25_r14_st9x3_m8x21x5_sma150_atr14_vol50_gap21_entry90_mbo6_rs42_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt25_r21_st14x3_m8x21x5_sma150_atr14_vol50_gap21_entry90_mbo6_rs42_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt25_r7_st21x5_m12x26x9_sma150_atr20_vol50_gap21_entry82_mbo6_rs42_wmomentum_reset,1,-0.1564135294228569,0.0,0,0,0,0,0
btm_dw21_dt35_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry82_mbo6_rs42_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt35_r14_st14x3_m16x35x9_sma200_atr20_vol10_gap21_entry82_mbo6_rs42_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt35_r21_st21x5_m16x35x9_sma200_atr20_vol10_gap21_entry82_mbo6_rs42_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol10_gap21_entry82_mbo6_rs63_wbalanced,1,-0.163813563885578,0.0,0,0,0,0,0
btm_dw252_dt35_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap42_entry82_mbo6_rs63_wbalanced,1,-0.163813563885578,0.0,0,0,0,0,0
btm_dw21_dt8_r14_st21x5_m12x26x9_sma50_atr10_vol20_gap42_entry82_mbo6_rs63_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt8_r21_st9x3_m12x26x9_sma100_atr10_vol20_gap42_entry82_mbo0_rs63_wbalanced,8,0.48526575202182265,1.0,0,0,0,0,0
btm_dw63_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol20_gap42_entry82_mbo0_rs63_wbalanced,37,0.3919003224668549,0.7567567567567568,4,0,0,0,0
btm_dw126_dt8_r10_st21x5_m16x35x9_sma100_atr14_vol20_gap42_entry82_mbo0_rs63_wbalanced,35,0.41697340050966264,0.7428571428571429,4,0,0,0,0
btm_dw252_dt8_r14_st9x3_m8x21x5_sma150_atr14_vol20_gap42_entry82_mbo0_rs63_wdeep_repair,12,0.5018668250864479,0.75,1,0,0,0,0
btm_dw21_dt12_r21_st14x3_m8x21x5_sma150_atr14_vol50_gap42_entry85_mbo0_rs63_wdeep_repair,6,0.6094019617855295,0.8333333333333334,0,0,0,0,0
btm_dw42_dt12_r7_st21x5_m12x26x9_sma150_atr20_vol50_gap63_entry85_mbo0_rs63_wdeep_repair,4,0.34867660696585767,0.75,0,0,0,0,0
btm_dw63_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol50_gap63_entry85_mbo0_rs63_wdeep_repair,2,-0.057770817323066825,0.5,0,0,0,0,0
btm_dw126_dt12_r14_st14x3_m16x35x9_sma200_atr20_vol50_gap63_entry85_mbo0_rs63_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt12_r21_st21x5_m16x35x9_sma200_atr20_vol50_gap63_entry85_mbo0_rs63_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt18_r7_st9x3_m8x21x5_sma50_atr10_vol10_gap63_entry85_mbo0_rs126_wstructure_retest,8,0.673690020981266,0.75,0,0,0,0,0
