window,source,symbol,date,channel,tier,bottomScore,formalThreshold,scoreGap,riskFlags,fwd126,reasonBucket
QQQ 2022 Q4,observation,QQQ,2022-10-11,OBS-D,Observation,71,78,7,no_repair,0.21952236052036422,below_formal_threshold
QQQ 2022 Q4,observation,QQQ,2022-11-03,OBS-D,Observation,64,78,14,no_repair,0.2475225658205178,below_formal_threshold
QQQ 2022 Q4,observation,QQQ,2022-12-28,OBS-D,Observation,70,78,8,no_repair,0.4244498693291656,below_formal_threshold
QQQ 2026 March,diagnostic,QQQ,2026-03-30,MB,Watch,72,78,6,no_repair,,below_formal_threshold
QQQ 2026 March,observation,QQQ,2026-03-30,OBS-S,Observation,72,78,6,no_repair,,below_formal_threshold
