configName,signalCount,avgFwd126,winRate126,coveredValidationWindowCount,formal2022Q4,formal2026March,diagnostic2022Q4,diagnostic2026March
btm_dw252_dt18_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap21_entry78_mbo0_rs42_wmomentum_reset,103,0.2915039221616413,0.76,4,0,0,1,0
btm_dw126_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry78_mbo-4_rs63_wdeep_repair,151,0.32776222096065916,0.7905405405405406,4,0,0,2,0
btm_dw252_dt18_r21_st9x3_m12x26x9_sma100_atr10_vol20_gap21_entry72_mbo0_rs63_wbalanced,173,0.2578736325440958,0.7719298245614035,4,0,0,0,0
btm_dw21_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry76_mbo0_rs42_wmomentum_reset,163,0.31150028972185845,0.75625,4,0,0,3,1
btm_dw252_dt25_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap63_entry82_mbo-8_rs42_wstructure_retest,144,0.261219677174536,0.7762237762237763,4,1,0,1,0
btm_dw252_dt12_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap21_entry76_mbo0_rs42_wbalanced,198,0.24890461516882695,0.7806122448979592,4,0,0,3,1
btm_dw42_dt18_r14_st9x3_m8x21x5_sma150_atr14_vol20_gap42_entry76_mbo-2_rs126_wmomentum_reset,165,0.24645864695785896,0.7037037037037037,4,0,0,0,0
btm_dw252_dt12_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap42_entry76_mbo-2_rs126_wstructure_retest,319,0.20764414717116758,0.7677419354838709,4,1,1,1,1
btm_dw252_dt8_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap21_entry82_mbo-8_rs63_wdeep_repair,145,0.2779071023377976,0.7464788732394366,4,0,0,0,0
btm_dw252_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap21_entry78_mbo-4_rs42_wstructure_retest,435,0.2175713458637561,0.789598108747045,4,2,1,4,1
btm_dw252_dt25_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap63_entry82_mbo-4_rs42_wstructure_retest,122,0.2492201407702978,0.7583333333333333,4,0,0,1,0
btm_dw252_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap21_entry80_mbo-2_rs63_wstructure_retest,183,0.25440014656553755,0.7790055248618785,4,0,0,3,1
btm_dw252_dt18_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap42_entry76_mbo-2_rs126_wmomentum_reset,193,0.21610174601405854,0.7604166666666666,4,0,0,1,0
btm_dw252_dt25_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap21_entry82_mbo-8_rs42_wbalanced,180,0.27302488626689847,0.7584269662921348,4,0,0,2,0
btm_dw63_dt8_r10_st9x3_m12x26x9_sma200_atr20_vol50_gap21_entry78_mbo0_rs126_wmomentum_reset,158,0.26383877400476885,0.7870967741935484,4,0,0,0,0
btm_dw252_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap21_entry78_mbo-8_rs126_wbalanced,202,0.278746089575448,0.7236180904522613,4,1,0,2,0
btm_dw252_dt12_r10_st21x5_m16x35x9_sma100_atr14_vol50_gap21_entry76_mbo-4_rs42_wbalanced,324,0.20955086445340243,0.7704402515723271,4,0,0,3,1
btm_dw252_dt18_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap21_entry72_mbo0_rs126_wstructure_retest,418,0.22013038355971537,0.7542997542997543,4,1,0,4,0
btm_dw126_dt8_r7_st21x5_m12x26x9_sma150_atr20_vol20_gap21_entry76_mbo0_rs63_wdeep_repair,215,0.2692013980365914,0.7452830188679245,4,0,0,0,0
btm_dw252_dt12_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap42_entry78_mbo-8_rs63_wbalanced,246,0.2247179601693867,0.7800829875518672,4,0,1,2,0
btm_dw252_dt18_r7_st21x5_m12x26x9_sma150_atr20_vol50_gap63_entry82_mbo-8_rs126_wmomentum_reset,161,0.21478155954172296,0.7658227848101266,4,0,0,2,0
btm_dw126_dt25_r14_st9x3_m8x21x5_sma150_atr14_vol10_gap21_entry72_mbo0_rs126_wmomentum_reset,171,0.26712454661838736,0.7100591715976331,4,0,0,1,0
btm_dw252_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap21_entry76_mbo-8_rs126_wbalanced,248,0.27051952530613077,0.7418032786885246,4,2,0,2,0
btm_dw252_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap42_entry80_mbo-4_rs42_wstructure_retest,178,0.22580550889429724,0.7828571428571428,4,0,0,1,0
btm_dw126_dt18_r7_st14x3_m16x35x9_sma100_atr14_vol50_gap42_entry78_mbo0_rs126_wstructure_retest,238,0.21551521317129446,0.759493670886076,4,0,0,1,0
